Id	PreviousId	IsOverarching	Name	Description	URL	Type
S47		0	IM1 - Interface Mechanism	Supports the implementation of interfaces between solutions.	https://gpitbjss.atlassian.net/wiki/spaces/GPITF/pages/1391133895/IM1+-+Interface+Mechanism	I
S48		0	Interoperability Toolkit (ITK)	Supports interoperability within and between solutions with common specifications, frameworks and implementation guides.	https://gpitbjss.atlassian.net/wiki/spaces/GPITF/pages/1391133906	I
S50		0	Messaging Exchange for Social Care and Health (MESH)	Supports the secure transfer of clinical and non clinical data across health and social care.	https://gpitbjss.atlassian.net/wiki/spaces/GPITF/pages/1391133887	I
S53		0	NHAIS HA/GP Links	Supports the management of Patient registration and demographic information with National Health Application and Infrastructure Services.	https://gpitbjss.atlassian.net/wiki/spaces/GPITF/pages/1391133619	I
S55		0	NHS Messaging Implementation Manual (MIM)	Supports the messaging standard intended for use on the Spine.	https://gpitbjss.atlassian.net/wiki/spaces/GPITF/pages/1391133738	I
S56		0	Personal Demographics Service (PDS)	Supports Solution integration with the Personal Demographics Service which stores Patient details.	https://gpitbjss.atlassian.net/wiki/spaces/GPITF/pages/1391133999	I
S58		0	Screening Messaging	Supports validation and transfer of screening result data to solutions.	https://gpitbjss.atlassian.net/wiki/spaces/GPITF/pages/1391133789/Screening+messaging	I
S59		0	Secure Electronic File Transfer (SEFT)	Supports secure data transfer to and from external organisations.	https://gpitbjss.atlassian.net/wiki/spaces/GPITF/pages/1391134107	I
S60		0	Summary Care Record (SCR)	Supports the management of Summary Care Record data and staff access to those data.	https://gpitbjss.atlassian.net/wiki/spaces/GPITF/pages/1391133699	I
S64		0	Clinical Document Architecture (CDA)	Defines the standard for exchange of clinical information between systems.	https://gpitbjss.atlassian.net/wiki/spaces/GPITF/pages/1391133745	I
S66		0	Spine Mini Services	Supports read-only access to national services made available through the Spine.	https://gpitbjss.atlassian.net/wiki/spaces/GPITF/pages/1391133525/Spine+Mini+Services	I
S68		0	NHS Login Service	Supports the verification of Citizens and services requesting access to digital health records.	https://gpitbjss.atlassian.net/wiki/spaces/GPITF/pages/1391133874/NHS+login+service	I
S71		0	National Medicines Verification System	Enables clients to verify the status of medicines and decommission medicines from the supply chain via single or bulk operations and supports synchronous and asynchonous connection modes.  	https://gpitbjss.atlassian.net/wiki/spaces/GPITF/pages/1391134857/National+Medicines+Verification+System	I
S24		1	Business Continuity & Disaster Recovery	Ensures that suppliers solutions are supported by robust business continuity plans and disaster recovery measures.	https://gpitbjss.atlassian.net/wiki/spaces/GPITF/pages/1391134058/Business+Continuity+and+Disaster+Recovery	O
S25		1	Clinical Safety	Supports the management of clinical risk and Patient safety.	https://gpitbjss.atlassian.net/wiki/spaces/GPITF/pages/1391134225/Clinical+Safety	O
S26		1	Data Migration	Supports the secure migration of Practice data between solutions provided by different suppliers.	https://gpitbjss.atlassian.net/wiki/spaces/GPITF/pages/1391134456/Data+Migration	O
S27		1	Data Standards	Defines detailed technical standards for the storage, management and organisation of data and specifies standardised reference data, terminology and codes.	https://gpitbjss.atlassian.net/wiki/spaces/GPITF/pages/1391134407/Data+Standards	O
S28		1	Training	Defines the training activities and collateral expected from suppliers to support the buyers and users of their solutions.	https://gpitbjss.atlassian.net/wiki/spaces/GPITF/pages/1391133846/Training	O
S29		1	Hosting & Infrastructure	Supports best practices for infrastructure and hosting of systems. For example, ensuring that systems are cost effective, secure and energy efficient.	https://gpitbjss.atlassian.net/wiki/spaces/GPITF/pages/1391134324	O
S30		1	Information Governance	Supports the controls needed to ensure that sensitive personal data is kept confidential, is accurate and is available to authorised users when required.	https://gpitbjss.atlassian.net/wiki/spaces/GPITF/pages/1391134230/Information+Governance	O
S31		1	Commercial Standard	This Standard underpins all commercial activity relating to the Catalogue. It does this by defining a number of rules governing the commercial relationship of relevant parties and by setting out standards of behaviour and principles of access to data and services charges.	https://gpitbjss.atlassian.net/wiki/spaces/GPITF/pages/1391134121/Commercial	O
S63		1	Non-Functional Questions	Defines standards for the operation of solutions, service levels and the quality of the user experience.	https://gpitbjss.atlassian.net/wiki/spaces/GPITF/pages/1391133660/Non-Functional+Questions	O
S65		1	Service Management	Supports suppliers in the delivery and management of services that support and provide their Solutions.	https://gpitbjss.atlassian.net/wiki/spaces/GPITF/pages/1391133802/Service+Management	O
S69		1	Testing	Ensures that Suppliers' software delivery test processes are of sufficient quality and rigour.	https://gpitbjss.atlassian.net/wiki/spaces/GPITF/pages/1391133583/Testing	O
S1		0	Appointments Management - Citizen - Standard	Enables Citizens to manage their Appointments online. Supports the use of Appointment slots that have been configured in Appointments Management - GP.	https://gpitbjss.atlassian.net/wiki/spaces/GPITF/pages/1391134369/Appointments+Management+-+Citizen+-+Standard	C
S2		0	Communicate with Practice - Citizen - Standard	Supports secure and trusted electronic communications between Citizens and the Practice. Integrates with Patient Information Maintenance.	https://gpitbjss.atlassian.net/wiki/spaces/GPITF/pages/1391134173/Communicate+with+Practice+-+Citizen+-+Standard	C
S3		0	Prescription Ordering – Citizen - Standard	Enables Citizens to request medication online and manage nominated and preferred Pharmacies for Patients.	https://gpitbjss.atlassian.net/wiki/spaces/GPITF/pages/1391134356	C
S4		0	View Record - Citizen - Standard	Enables Citizens to view their Patient Record online.	https://gpitbjss.atlassian.net/wiki/spaces/GPITF/pages/1391134394/View+Record+-+Citizen+-+Standard	C
S11		0	Referral Management - Standard	Supports recording, reviewing, sending, and reporting of Patient Referrals. Enables Referral information to be included in the Patient Record.	https://gpitbjss.atlassian.net/wiki/spaces/GPITF/pages/1391133630/Referral+Management+-+Standard	C
S12		0	Resource Management - Standard	Supports the management and reporting of Practice information, resources, Staff Members and related organisations. Also enables management of Staff Member availability and inactivity.	https://gpitbjss.atlassian.net/wiki/spaces/GPITF/pages/1391133828/Resource+Management+-+Standard	C
S13		0	Patient Information Maintenance - Standard	Supports the registration of Patients and the maintenance of all Patient personal information. Supports the organisation and presentation of a comprehensive Patient Record. Also supports the management of related persons and configuring access to Citizen Services.	https://gpitbjss.atlassian.net/wiki/spaces/GPITF/pages/1391134401/Patient+Information+Maintenance+-+Standard	C
S14		0	Prescribing - Standard	Supports the effective and safe prescribing of medical products and appliances to Patients. Information to support prescribing will be available.	https://gpitbjss.atlassian.net/wiki/spaces/GPITF/pages/1391134363/Prescribing+-+Standard	C
S15		0	Recording Consultations - Standard	Supports the standardised recording of Consultations and other General Practice activities. Also supports the extraction of Female Genital Mutilation (FGM) data for the FGM data set.	https://gpitbjss.atlassian.net/wiki/spaces/GPITF/pages/1391134136/Recording+Consultations+-+Standard	C
S5		0	Appointments Management - GP - Standard	Supports the administration, scheduling, resourcing and reporting of appointments.	https://gpitbjss.atlassian.net/wiki/spaces/GPITF/pages/1391134382/Appointments+Management+-+GP+-+Standard	C
S9		0	Document Management - Standard	Supports the secure management and classification of all forms unstructured electronic documents including those created by scanning paper documents. Also enables processing of documents and matching documents with Patients.	https://gpitbjss.atlassian.net/wiki/spaces/GPITF/pages/1391134289/Document+Management+-+Standard	C
S10		0	GP Extracts Verification - Standard	Supports Practice staff in ensuring accuracy of the data that is used with the Calculating Quality Reporting Service (CQRS).	https://gpitbjss.atlassian.net/wiki/spaces/GPITF/pages/1391133808/GP+Extracts+Verification+-+Standard	C
S16		0	Reporting - Standard	Enables reporting and analysis of data from other Capabilities in the Practice Solution to support clinical care and Practice management.	https://gpitbjss.atlassian.net/wiki/spaces/GPITF/pages/1391134256/Reporting+-+Standard	C
S19		0	Unstructured Data Extraction - Standard	Enables automated and manual interpretation and extraction of structured data from paper documents and unstructured electronic documents to support their classification and matching with Patient Records.	https://gpitbjss.atlassian.net/wiki/spaces/GPITF/pages/1391134330/Unstructured+Data+Extraction+-+Standard	C
S20		0	Workflow - Standard	Supports manual and automated management of work in the Practice. Also supports effective planning, tracking, monitoring and reporting.	https://gpitbjss.atlassian.net/wiki/spaces/GPITF/pages/1391134376/Workflow+-+Standard	C
S6		0	Clinical Decision Support - Standard	Supports clinical decision-making to improve Patient safety at the point of care.	https://gpitbjss.atlassian.net/wiki/spaces/GPITF/pages/1391134143/Clinical+Decision+Support+-+Standard	C
S7		0	Communication Management - Standard	Supports the delivery and management of communications to Citizens and Practice staff.	https://gpitbjss.atlassian.net/wiki/spaces/GPITF/pages/1391134296/Communication+Management+-+Standard	C
S8		0	Digital Diagnostics - Standard	Supports electronic requesting with other healthcare organisations. Test results can be received, reviewed and stored against the Patient record.	https://gpitbjss.atlassian.net/wiki/spaces/GPITF/pages/1391133783/Digital+Diagnostics+-+Standard	C
S70		0	Primary Care Clinical Terminology Usage Report	Supports the collection and submission to NHS digital of information about usage of clinical coded terms.	https://gpitbjss.atlassian.net/wiki/spaces/GPITF/pages/1391134283/Primary+Care+Clinical+Terminology+Usage+Report	C
S39		0	eMED3 (Fit Notes)	Supports the creation of eMED3 data, its integration into the Patient Record, printing MED3 fit note certificates and extraction of data to NHS Digital.	https://gpitbjss.atlassian.net/wiki/spaces/GPITF/pages/1391135075	C
S62		0	General Practice Appointments Data Reporting	Supports the collection and submission to NHS digital of appointment data to support capacity planning and management.	https://gpitbjss.atlassian.net/wiki/spaces/GPITF/pages/1391133692/General+Practice+Appointments+Data+Reporting	C
